job_title,func_parent,functions,subfunctions
chief content officer,Technical,product,product-unknown
junior illustrator,Technical,design,design-unknown
"technical director, the americas at darktrace",Technical,engineering,engineering-unknown
"chief technology officer and vice president, engineer",Technical,engineering,engineering-unknown
technical leader,Technical,engineering,engineering-unknown
engineer director of learning experience,Technical,engineering,engineering-unknown
"engineer manager and principal engineer, video experience and advertising",Technical,engineering,engineering-unknown
engineer and chief technology officer,Technical,engineering,engineering-unknown
the creative force,Technical,design,design-unknown
founding engineer and architect,Technical,engineering,engineering-unknown
gameplay programmer,Technical,engineering,engineering-unknown
visual data specialist ii,Technical,analytics,analytics-unknown
director of social algorithms and product b,Technical,product,product-unknown
supply chain development manager,Technical,engineering,engineering-unknown
data and product operations,Technical,product,product-unknown
ios tech lead,Technical,engineering,engineering-unknown
senior software engineer team lead,Technical,engineering,engineering-unknown
senior product architect and head of design,Technical,product,product-unknown
"manager, platform infrastructure",Technical,engineering,engineering-unknown
product expert,Technical,product,product-unknown
java engineer,Technical,engineering,engineering-unknown
lead product engineer,Technical,engineering,engineering-unknown
operations and data analytics,Technical,analytics,analytics-unknown
"vice president, engineer",Technical,engineering,engineering-unknown
senior server engineer,Technical,engineering,engineering-unknown
business and product development,Technical,product,product-unknown
"stage, productor",Technical,product,product-unknown
process and product development engineer,Technical,product,product-unknown
member of the technical staff,Technical,engineering,engineering-unknown
design and mobile product manager,Technical,product,product-unknown
vice president product engineer at robinhood,Technical,engineering,engineering-unknown
director of creative services,Technical,design,design-unknown
data integration specialist and manager,Technical,analytics,analytics-unknown
"director, data engineer",Technical,engineering,engineering-unknown
"director, systems engineer and operations",Technical,engineering,engineering-unknown
backend programmer,Technical,engineering,engineering-unknown
ruby on rails engineer,Technical,engineering,engineering-unknown
distributed system engineer,Technical,engineering,engineering-unknown
engenheiro de software,Technical,engineering,engineering-unknown
data officer,Technical,analytics,analytics-unknown
backend product engineer,Technical,engineering,engineering-unknown
productivity engineer lead,Technical,engineering,engineering-unknown
vulnerable customer analyst,Technical,analytics,analytics-unknown
senior user interface engineer,Technical,engineering,engineering-unknown
engineer technical lead and engineering manager,Technical,engineering,engineering-unknown
catalog analyst,Technical,analytics,analytics-unknown
engineer manager at opendoor,Technical,engineering,engineering-unknown
software development engineer in test,Technical,engineering,engineering-unknown
firmware engineer,Technical,engineering,engineering-unknown
prescription assistance territory program development manager for ri,Technical,engineering,engineering-unknown
sde,Technical,engineering,engineering-unknown
tech lead,Technical,engineering,engineering-unknown
design and development art,Technical,design,design-unknown
stage programmeur,Technical,engineering,engineering-unknown
design writer,Technical,design,design-unknown
distinguished engineer,Technical,engineering,engineering-unknown
principal engineer ii,Technical,engineering,engineering-unknown
lead integrations engineer,Technical,engineering,engineering-unknown
research and development manager,Technical,engineering,engineering-unknown
plc programmer,Technical,engineering,engineering-unknown
react native and technical product manager,Technical,product,product-unknown
product and operations,Technical,product,product-unknown
graphic design lead,Technical,design,design-unknown
analytics lead,Technical,analytics,analytics-unknown
"vice president and strategic services   product, loan originations and servicing",Technical,product,product-unknown
senior software design engineer,Technical,engineering,engineering-unknown
qa engineer lead,Technical,engineering,engineering-unknown
chief product and business development officer,Technical,product,product-unknown
"design director, partner",Technical,design,design-unknown
senior embedded engineer,Technical,engineering,engineering-unknown
director of product and design at airtable,Technical,product,product-unknown
director creativo,Technical,design,design-unknown
co creator and product engineer lead and of culture,Technical,engineering,engineering-unknown
chief technology officer and chief operations officer,Technical,engineering,engineering-unknown
technical staff,Technical,engineering,engineering-unknown
big data hacker,Technical,analytics,analytics-unknown
product team lead,Technical,product,product-unknown
senior director of engineer,Technical,engineering,engineering-unknown
junior photo systems engineer,Technical,engineering,engineering-unknown
senior vice president product management and marketplace,Technical,product,product-unknown
design leader,Technical,design,design-unknown
product operations,Technical,product,product-unknown
technical product manager,Technical,product,product-unknown
head of system engineer,Technical,engineering,engineering-unknown
lead data engineer,Technical,engineering,engineering-unknown
head of analytics,Technical,analytics,analytics-unknown
masterclass di sound design,Technical,design,design-unknown
data input,Technical,analytics,analytics-unknown
client programmer,Technical,engineering,engineering-unknown
chief technical architect,Technical,engineering,engineering-unknown
"vice president, head of engineer",Technical,engineering,engineering-unknown
associate product manager,Technical,product,product-unknown
"head of product, director and partner",Technical,product,product-unknown
product delivery engineer,Technical,engineering,engineering-unknown
payments engineer at patreon,Technical,engineering,engineering-unknown
engineer manager at stack overflow,Technical,engineering,engineering-unknown
product architect,Technical,product,product-unknown
senior studio lead and strategic design lead,Technical,design,design-unknown
fullstack engineer,Technical,engineering,engineering-unknown
product manager + partnerships   fitmob acquired by classpass,Technical,product,product-unknown
vice president software,Technical,engineering,engineering-unknown
design expert,Technical,design,design-unknown
junior game programmer,Technical,engineering,engineering-unknown
programmer and tester,Technical,engineering,engineering-unknown
web design director,Technical,design,design-unknown
product owner and product manager and user experience ninja+2 current positions,Technical,product,product-unknown
engineer team lead: data visualization,Technical,engineering,engineering-unknown
engineer lead for hashicorp vault,Technical,engineering,engineering-unknown
trading and mining expert| bitcoin expert | trade analyst | blockchain technology | forex,Technical,analytics,analytics-unknown
camera and photography admirer,Technical,design,design-unknown
product manager business to business,Technical,product,product-unknown
product and design,Technical,product,product-unknown
producer,Technical,product,product-unknown
graduating engineer,Technical,engineering,engineering-unknown
group product manager,Technical,product,product-unknown
documentation and information engineer team lead,Technical,engineering,engineering-unknown
"senior product manager, stream processing",Technical,product,product-unknown
brand and creative director,Technical,design,design-unknown
product manager junior,Technical,product,product-unknown
data import specialist,Technical,analytics,analytics-unknown
regulatory analyst,Technical,analytics,analytics-unknown
head of risk and product manager,Technical,product,product-unknown
lead javascript engineer,Technical,engineering,engineering-unknown
product selection and curation department,Technical,product,product-unknown
e commerce product manager,Technical,product,product-unknown
programador de aplicaciones web,Technical,engineering,engineering-unknown
"chief game designer, creative director",Technical,design,design-unknown
quality system engineer,Technical,engineering,engineering-unknown
"disenar invitaciones, carteleria, decorar interiores y exteriores, contactar con proveedores",Technical,design,design-unknown
"senior director of integrations, platforms, and developers",Technical,engineering,engineering-unknown
senior principal engineer,Technical,engineering,engineering-unknown
api engineer,Technical,engineering,engineering-unknown
senior product engineer,Technical,engineering,engineering-unknown
customer support engineer team lead,Technical,engineering,engineering-unknown
product development and production manager,Technical,product,product-unknown
products and alliances,Technical,product,product-unknown
mercenary engineer,Technical,engineering,engineering-unknown
technical project manager,Technical,product,product-unknown
"graphics design,web design",Technical,design,design-unknown
database architect,Technical,analytics,analytics-unknown
senior database engineer,Technical,engineering,engineering-unknown
"lead technologist, office of the chief technology officer",Technical,engineering,engineering-unknown
ruby on rails engineer at thredup,Technical,engineering,engineering-unknown
senior firmware engineer,Technical,engineering,engineering-unknown
cluster manager art at catawiki,Technical,design,design-unknown
database engineer,Technical,engineering,engineering-unknown
head of merchandise design,Technical,design,design-unknown
technical trade and market trend analyst,Technical,engineering,engineering-unknown
"product and engineer lead, growth",Technical,engineering,engineering-unknown
e commerce and range manager,Technical,design,design-unknown
customer insights and product manager,Technical,product,product-unknown
technical lead,Technical,engineering,engineering-unknown
back end data specialist,Technical,analytics,analytics-unknown
marketing and product management and analytics,Technical,product,product-unknown
senior programmer analyst,Technical,engineering,engineering-unknown
senior staff engineer,Technical,engineering,engineering-unknown
user research lead,Technical,product,product-unknown
user interface engineer,Technical,engineering,engineering-unknown
"project manager, new product development",Technical,product,product-unknown
product setup specialist and analyst,Technical,product,product-unknown
senior digital product manager,Technical,product,product-unknown
senior director of product management,Technical,product,product-unknown
director of product management and data science,Technical,product,product-unknown
founding architect and engineer manager,Technical,engineering,engineering-unknown
director of product management an engineer manager,Technical,product,product-unknown
product advocate,Technical,product,product-unknown
"vice president, product mgmt, customer experience",Technical,product,product-unknown
server programmer,Technical,engineering,engineering-unknown
process development and product development,Technical,product,product-unknown
director of prescription services,Technical,engineering,engineering-unknown
"full stack software and firmware qa engineer, scrum master for intelligent workout experience team",Technical,engineering,engineering-unknown
chief data officer,Technical,analytics,analytics-unknown
head of consumer product,Technical,product,product-unknown
chief technology officer; partner at do206.com,Technical,engineering,engineering-unknown
front endontwikkelaar,Technical,engineering,engineering-unknown
design director for product curology,Technical,design,design-unknown
senior embedded systems engineer,Technical,engineering,engineering-unknown
cloud engineer,Technical,engineering,engineering-unknown
design and direcao de arte,Technical,design,design-unknown
"vice president, creative director glossier",Technical,design,design-unknown
product management,Technical,product,product-unknown
product development and customer delight,Technical,product,product-unknown
head of product engineer and engineering manager and founding engineer,Technical,engineering,engineering-unknown
digital illustrator,Technical,design,design-unknown
tech specialist,Technical,engineering,engineering-unknown
"director, platform software development",Technical,engineering,engineering-unknown
sde and lead sde,Technical,engineering,engineering-unknown
senior product innovation manager,Technical,product,product-unknown
"vice president, growth and analytics",Technical,analytics,analytics-unknown
data engineer,Technical,engineering,engineering-unknown
head of product and engineer,Technical,engineering,engineering-unknown
design and direction for brand and product,Technical,product,product-unknown
lead technical supporter,Technical,engineering,engineering-unknown
user interface desginer,Technical,design,design-unknown
"vice president of creative, creative director dollar shave club",Technical,design,design-unknown
produktmanager,Technical,product,product-unknown
game lead,Technical,product,product-unknown
property development manager,Technical,engineering,engineering-unknown
communication design manager,Technical,design,design-unknown
lead user interface engineer,Technical,engineering,engineering-unknown
"manager, special projects",Technical,product,product-unknown
acquisition systems analyst,Technical,analytics,analytics-unknown
product manager   consumer ops,Technical,product,product-unknown
labor economist,Technical,analytics,analytics-unknown
research and development | engineer,Technical,engineering,engineering-unknown
detection and response analyst,Technical,analytics,analytics-unknown
product track lead   advocate operations,Technical,product,product-unknown
instruction and content development manager,Technical,engineering,engineering-unknown
product specialist lead,Technical,product,product-unknown
senior research data specialist,Technical,analytics,analytics-unknown
product expert and success engineer,Technical,engineering,engineering-unknown
test analyst,Technical,analytics,analytics-unknown
"product manager, mobile",Technical,product,product-unknown
"director, world visual design",Technical,design,design-unknown
fotografa de produto,Technical,design,design-unknown
architecture lead,Technical,engineering,engineering-unknown
software development manager,Technical,engineering,engineering-unknown
head of data engineer,Technical,engineering,engineering-unknown
engineer manager ios,Technical,engineering,engineering-unknown
associate detection and response analyst,Technical,analytics,analytics-unknown
creative lead at everlane,Technical,design,design-unknown
programator,Technical,engineering,engineering-unknown
intellectual property specialist,Technical,product,product-unknown
source code engineer,Technical,engineering,engineering-unknown
data coordinator,Technical,analytics,analytics-unknown
design researcher,Technical,design,design-unknown
product group lead,Technical,product,product-unknown
distinguished engineer   systems,Technical,engineering,engineering-unknown
vice president product management,Technical,product,product-unknown
design lead at kry,Technical,design,design-unknown
design engineer,Technical,engineering,engineering-unknown
pilot plant separation and purification process specialist,Technical,engineering,engineering-unknown
head of analytics and data,Technical,analytics,analytics-unknown
"engineer, champion coup player",Technical,engineering,engineering-unknown
mobile engineer manager and chief officer of awesome at pinterest,Technical,engineering,engineering-unknown
senior development manager,Technical,engineering,engineering-unknown
uk prod tech manager,Technical,engineering,engineering-unknown
"product track lead   advocate, market, and post sale operations; crm and salesforce integrations",Technical,product,product-unknown
steuerspezialist in der produktentwicklung,Technical,product,product-unknown
senior product development manager,Technical,engineering,engineering-unknown
senior detection and response engineer,Technical,engineering,engineering-unknown
engineer ?? engineer manager ?? engineer,Technical,engineering,engineering-unknown
vibe manager and design team,Technical,design,design-unknown
"research and development associate, engineer i, engineer ii",Technical,engineering,engineering-unknown
kong core engineer,Technical,engineering,engineering-unknown
junior engineer,Technical,engineering,engineering-unknown
equity analyst,Technical,analytics,analytics-unknown
junior system engineer,Technical,engineering,engineering-unknown
product engineer lead,Technical,engineering,engineering-unknown
us chief technology officer,Technical,engineering,engineering-unknown
analista programador,Technical,engineering,engineering-unknown
product manager   user growth,Technical,product,product-unknown
design writer+1 current positions,Technical,design,design-unknown
head of transaction products,Technical,product,product-unknown
technical analyst,Technical,engineering,engineering-unknown
new product launch,Technical,product,product-unknown
product innovation manager,Technical,product,product-unknown
"head of product management, software and hardware",Technical,product,product-unknown
senior system engineer,Technical,engineering,engineering-unknown
employer product manager,Technical,product,product-unknown
client engineer,Technical,engineering,engineering-unknown
head of product and customer insight,Technical,product,product-unknown
product localization manager,Technical,product,product-unknown
signal processing engineer,Technical,engineering,engineering-unknown
creative director @ noom,Technical,design,design-unknown
visual data specialist,Technical,analytics,analytics-unknown
data engineer and scientist,Technical,engineering,engineering-unknown
"engineer director, web",Technical,engineering,engineering-unknown
head of ad operations and ad product,Technical,product,product-unknown
product and growth,Technical,product,product-unknown
metrics analyst,Technical,analytics,analytics-unknown
product operations technical lead,Technical,engineering,engineering-unknown
engineer manager   front end,Technical,engineering,engineering-unknown
design systems lead,Technical,design,design-unknown
principal data engineer,Technical,engineering,engineering-unknown
new product integration manager,Technical,product,product-unknown
head of engineer and vice president of engineering,Technical,engineering,engineering-unknown
senior technical project manager,Technical,product,product-unknown
senior product expert   team lead account managers,Technical,product,product-unknown
tech lead   core banking system,Technical,engineering,engineering-unknown
"product lead, gelato",Technical,product,product-unknown
assistant to head of product   product development,Technical,product,product-unknown
director of server engineer,Technical,engineering,engineering-unknown
assistant to the product manager,Technical,product,product-unknown
senior illustrator,Technical,design,design-unknown
"director, advanced analytics",Technical,analytics,analytics-unknown
narrative creation and game design,Technical,design,design-unknown
vice president product,Technical,product,product-unknown
tech lead   growth,Technical,engineering,engineering-unknown
executive vice president of engineer,Technical,engineering,engineering-unknown
senior golang engineer,Technical,engineering,engineering-unknown
chief technology officer   goat,Technical,engineering,engineering-unknown
embedded system engineer,Technical,engineering,engineering-unknown
analista funcional,Technical,analytics,analytics-unknown
"duolingo.com, design lead",Technical,design,design-unknown
senior vice president engineer and operations,Technical,engineering,engineering-unknown
flash game engineer,Technical,engineering,engineering-unknown
"senior scientist, product development",Technical,product,product-unknown
vice president product and technology,Technical,product,product-unknown
"senior engineer manager, valuations",Technical,engineering,engineering-unknown
clojure programmer,Technical,engineering,engineering-unknown
technical lead   android,Technical,engineering,engineering-unknown
reliability engineer,Technical,engineering,engineering-unknown
charger product operations and growth,Technical,product,product-unknown
product engineer,Technical,engineering,engineering-unknown
"engineer, product",Technical,engineering,engineering-unknown
machine design technician,Technical,design,design-unknown
some form of extremely senior engineer and manager,Technical,engineering,engineering-unknown
lead platform programmer,Technical,engineering,engineering-unknown
director de diseno,Technical,design,design-unknown
gameplay programer,Technical,engineering,engineering-unknown
vice president of software,Technical,engineering,engineering-unknown
director of digital products,Technical,product,product-unknown
algorithm engineer,Technical,engineering,engineering-unknown
"engineer manager, tech lead",Technical,engineering,engineering-unknown
vice president digital products,Technical,product,product-unknown
growth engineer,Technical,engineering,engineering-unknown
junior market analyst,Technical,analytics,analytics-unknown
diagnostic engineer,Technical,engineering,engineering-unknown
diag engineer,Technical,engineering,engineering-unknown
senior vice president engineer,Technical,engineering,engineering-unknown
director for cyber intelligence,Technical,engineering,engineering-unknown
network infrastructure,Technical,engineering,engineering-unknown
founding engineer + engineer manager,Technical,engineering,engineering-unknown
vice president of data and analytics at casper,Technical,analytics,analytics-unknown
hardware design engineer,Technical,engineering,engineering-unknown
customer insights,Technical,analytics,analytics-unknown
adwords strategist and analyst,Technical,design,design-unknown
senior dba mysql and postgresql and oracle,Technical,analytics,analytics-unknown
head of strategic products,Technical,product,product-unknown
director of software quality,Technical,engineering,engineering-unknown
"vice president engineer at masterclass, inc",Technical,engineering,engineering-unknown
software development team lead,Technical,engineering,engineering-unknown
junior product and process engineer,Technical,engineering,engineering-unknown
senior analyst,Technical,analytics,analytics-unknown
senior and group product manager,Technical,product,product-unknown
tech lead smart accounts,Technical,engineering,engineering-unknown
user interface director,Technical,design,design-unknown
graphic design and videographer,Technical,design,design-unknown
veilingmeester fotografie,Technical,design,design-unknown
data collector and verifier,Technical,analytics,analytics-unknown
apparel product manager,Technical,product,product-unknown
linux system engineer,Technical,engineering,engineering-unknown
"product manager, special projects lead",Technical,product,product-unknown
"director, special projects",Technical,product,product-unknown
testing engineer,Technical,engineering,engineering-unknown
director of product engineer,Technical,engineering,engineering-unknown
ingenieur etudes et developpements javaee,Technical,engineering,engineering-unknown
senior retoucher and illustrator,Technical,design,design-unknown
chief technology officer and designer,Technical,engineering,engineering-unknown
integrateur front end,Technical,engineering,engineering-unknown
programa de desenvolvimento de jovens empreendedores,Technical,product,product-unknown
"product manager, platform",Technical,product,product-unknown
consulting product manager,Technical,product,product-unknown
lead programmer,Technical,engineering,engineering-unknown
principal system engineer,Technical,engineering,engineering-unknown
principal engineer at coupa software,Technical,engineering,engineering-unknown
senior detection and response analyst,Technical,analytics,analytics-unknown
"senior director, product management",Technical,product,product-unknown
vice president product and growth,Technical,product,product-unknown
javascript engineer visualisation and analytics,Technical,analytics,analytics-unknown
senior python engineer,Technical,engineering,engineering-unknown
pa to the chief operations officer and chief technology officer and chief creative officer,Technical,engineering,engineering-unknown
ingenieur java,Technical,engineering,engineering-unknown
tech lead   front end,Technical,engineering,engineering-unknown
mobile product manager   contract,Technical,product,product-unknown
agile development manager,Technical,engineering,engineering-unknown
director of finance + analytics,Technical,analytics,analytics-unknown
"product lead, ancestry",Technical,product,product-unknown
visualization engineer,Technical,engineering,engineering-unknown
telematics engineer manager,Technical,engineering,engineering-unknown
senior vice president of engineer @ wish san francisco,Technical,engineering,engineering-unknown
"vice president, data sciences",Technical,analytics,analytics-unknown
analista,Technical,analytics,analytics-unknown
"senior vice president, engineer and supply chain",Technical,engineering,engineering-unknown
office and events manager | fleet development manager,Technical,engineering,engineering-unknown
catalog data lead,Technical,analytics,analytics-unknown
